                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.6062,                 1.1057,                 1.0283,                0.45508,                0.32716,                0.32879,                0.18461,                 1.4675,                0.95247,                 0.9426,               0.007129,               0.007129,               0.007129
                     90,                 1.6049,                 1.1081,                 1.0267,                0.45856,                0.32923,                0.33354,                0.18736,                 1.4681,                0.94681,                0.94468,               0.007096,               0.007096,               0.007096
                     91,                 1.5957,                 1.1008,                 1.0266,                0.46303,                0.32777,                0.33159,                0.18716,                 1.4596,                 0.9415,                0.94221,               0.007063,               0.007063,               0.007063
                     92,                 1.6021,                 1.1051,                 1.0269,                0.46677,                0.33157,                 0.3315,                0.18596,                 1.4665,                0.94097,                0.94366,                0.00703,                0.00703,                0.00703
                     93,                 1.6029,                 1.1018,                 1.0267,                0.45747,                0.33834,                0.33434,                0.18789,                 1.4663,                0.93928,                0.94219,               0.006997,               0.006997,               0.006997
                     94,                 1.5928,                 1.0968,                 1.0264,                0.45658,                0.33855,                0.33606,                0.18873,                 1.4626,                0.94159,                0.94152,               0.006964,               0.006964,               0.006964
                     95,                 1.5967,                 1.0884,                 1.0263,                0.46095,                0.32641,                0.33417,                0.18788,                 1.4532,                0.93654,                0.93962,               0.006931,               0.006931,               0.006931
                     96,                 1.5966,                 1.0979,                  1.028,                0.46636,                0.33039,                0.33306,                0.18842,                  1.454,                0.93657,                0.94009,               0.006898,               0.006898,               0.006898
                     97,                 1.5974,                 1.0924,                 1.0268,                0.47173,                0.33308,                0.33324,                0.18797,                 1.4567,                0.93497,                0.94107,               0.006865,               0.006865,               0.006865
                     98,                 1.5964,                 1.0885,                 1.0254,                0.47679,                0.32696,                0.33658,                  0.189,                 1.4621,                0.93451,                0.94057,               0.006832,               0.006832,               0.006832
                     99,                 1.5912,                 1.0851,                 1.0244,                0.46704,                0.33513,                0.33926,                0.19101,                 1.4615,                0.93626,                0.93985,               0.006799,               0.006799,               0.006799
                    100,                 1.5935,                 1.0886,                 1.0244,                0.46743,                 0.3333,                0.33594,                0.19004,                 1.4642,                0.93664,                 0.9413,               0.006766,               0.006766,               0.006766
                    101,                 1.5909,                 1.0846,                 1.0235,                0.46392,                0.33322,                0.33816,                0.19142,                 1.4611,                0.93365,                0.94103,               0.006733,               0.006733,               0.006733
                    102,                 1.5935,                 1.0877,                 1.0233,                0.47296,                0.33572,                0.34195,                0.19267,                 1.4557,                0.92965,                0.94045,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.5929,                 1.0826,                 1.0246,                0.46326,                0.33915,                0.34188,                0.19255,                 1.4509,                0.92761,                0.93858,               0.006667,               0.006667,               0.006667
                    104,                 1.5919,                 1.0814,                 1.0204,                 0.4703,                0.33722,                0.34147,                0.19422,                 1.4482,                0.92612,                0.93684,               0.006634,               0.006634,               0.006634
                    105,                 1.5836,                 1.0727,                 1.0199,                0.47846,                0.33828,                0.34101,                0.19383,                   1.45,                0.92636,                0.93757,               0.006601,               0.006601,               0.006601
                    106,                 1.5813,                 1.0761,                 1.0176,                0.48131,                0.34055,                0.34259,                0.19366,                 1.4509,                0.92184,                0.93812,               0.006568,               0.006568,               0.006568
                    107,                 1.5957,                 1.0855,                 1.0222,                 0.4689,                0.34077,                0.34294,                0.19439,                 1.4496,                0.92214,                0.93757,               0.006535,               0.006535,               0.006535
                    108,                  1.586,                 1.0767,                 1.0214,                0.48724,                0.32968,                0.34112,                0.19259,                 1.4534,                0.92382,                0.93811,               0.006502,               0.006502,               0.006502
                    109,                 1.5837,                 1.0743,                 1.0231,                0.47698,                0.33657,                 0.3444,                0.19449,                 1.4444,                0.91939,                0.93637,               0.006469,               0.006469,               0.006469
                    110,                 1.5772,                 1.0648,                 1.0193,                0.46306,                0.34175,                0.34251,                 0.1936,                  1.445,                0.92093,                0.93751,               0.006436,               0.006436,               0.006436
                    111,                 1.5806,                 1.0758,                 1.0212,                0.47081,                0.34184,                0.34498,                0.19576,                 1.4409,                0.91981,                0.93621,               0.006403,               0.006403,               0.006403
                    112,                 1.5771,                 1.0724,                  1.019,                 0.4676,                 0.3389,                0.34474,                 0.1954,                 1.4469,                0.92053,                0.93687,                0.00637,                0.00637,                0.00637
                    113,                 1.5762,                 1.0659,                 1.0174,                0.47642,                0.33774,                 0.3463,                0.19642,                 1.4432,                 0.9154,                0.93676,               0.006337,               0.006337,               0.006337
                    114,                 1.5789,                 1.0738,                 1.0182,                 0.4718,                0.34647,                0.34758,                 0.1973,                 1.4388,                0.91306,                0.93587,               0.006304,               0.006304,               0.006304
                    115,                 1.5803,                 1.0656,                  1.016,                0.48478,                0.34389,                0.34899,                0.19683,                 1.4418,                0.91313,                0.93663,               0.006271,               0.006271,               0.006271
                    116,                 1.5831,                 1.0698,                 1.0191,                 0.4841,                0.34309,                0.35103,                0.19782,                 1.4462,                0.91268,                0.93724,               0.006238,               0.006238,               0.006238
                    117,                  1.578,                 1.0617,                 1.0177,                0.48769,                0.34491,                0.35112,                0.19842,                 1.4449,                0.91165,                0.93656,               0.006205,               0.006205,               0.006205
                    118,                 1.5777,                 1.0653,                 1.0192,                0.49597,                0.34007,                 0.3493,                0.19688,                 1.4451,                0.91121,                0.93673,               0.006172,               0.006172,               0.006172
                    119,                 1.5756,                 1.0613,                 1.0179,                0.49755,                0.34045,                0.35052,                0.19774,                 1.4484,                0.91155,                0.93724,               0.006139,               0.006139,               0.006139
                    120,                 1.5683,                 1.0562,                 1.0161,                0.49728,                0.34135,                0.35067,                0.19803,                 1.4406,                0.90989,                0.93545,               0.006106,               0.006106,               0.006106
                    121,                  1.577,                 1.0611,                  1.018,                0.51329,                0.33826,                0.35372,                0.20046,                 1.4363,                0.90631,                0.93454,               0.006073,               0.006073,               0.006073
                    122,                   1.57,                 1.0551,                 1.0156,                0.50181,                0.34056,                0.35265,                0.19933,                 1.4403,                0.90629,                0.93527,                0.00604,                0.00604,                0.00604
                    123,                 1.5779,                 1.0617,                 1.0173,                0.50351,                  0.341,                0.35321,                 0.1987,                 1.4454,                0.90812,                0.93618,               0.006007,               0.006007,               0.006007
                    124,                 1.5692,                 1.0493,                 1.0154,                0.50236,                0.34299,                0.35425,                0.19984,                 1.4442,                0.90861,                0.93571,               0.005974,               0.005974,               0.005974
                    125,                 1.5671,                 1.0507,                 1.0159,                 0.4923,                0.34171,                0.35336,                0.20058,                 1.4394,                0.90827,                0.93476,               0.005941,               0.005941,               0.005941
                    126,                 1.5675,                 1.0494,                  1.015,                0.48398,                 0.3465,                0.35406,                0.20096,                 1.4372,                 0.9071,                0.93497,               0.005908,               0.005908,               0.005908
                    127,                 1.5661,                 1.0477,                  1.015,                0.49955,                0.34516,                0.35516,                0.20054,                 1.4399,                0.90603,                0.93572,               0.005875,               0.005875,               0.005875
                    128,                 1.5682,                 1.0494,                  1.014,                0.50614,                0.34156,                  0.356,                 0.2007,                 1.4434,                0.90836,                0.93639,               0.005842,               0.005842,               0.005842
                    129,                  1.568,                 1.0459,                 1.0157,                0.51139,                0.33866,                0.35778,                0.20175,                 1.4395,                 0.9052,                0.93507,               0.005809,               0.005809,               0.005809
                    130,                 1.5646,                 1.0492,                 1.0143,                0.51008,                0.33945,                 0.3564,                 0.2012,                 1.4377,                0.90457,                0.93398,               0.005776,               0.005776,               0.005776
                    131,                 1.5638,                 1.0461,                 1.0138,                0.50223,                0.33991,                0.35611,                 0.2017,                 1.4372,                0.90474,                0.93394,               0.005743,               0.005743,               0.005743
                    132,                 1.5628,                 1.0438,                 1.0133,                0.49925,                0.34236,                0.35615,                 0.2021,                 1.4396,                0.90415,                0.93425,                0.00571,                0.00571,                0.00571
                    133,                 1.5625,                 1.0429,                 1.0151,                0.50116,                0.34457,                0.35691,                0.20163,                 1.4398,                0.90433,                0.93479,               0.005677,               0.005677,               0.005677
                    134,                 1.5659,                 1.0452,                  1.014,                0.49363,                0.34457,                0.35528,                0.20136,                 1.4401,                0.90429,                0.93527,               0.005644,               0.005644,               0.005644
                    135,                 1.5671,                 1.0431,                 1.0141,                0.49427,                0.34371,                0.35708,                 0.2014,                 1.4397,                0.90393,                0.93456,               0.005611,               0.005611,               0.005611
                    136,                 1.5678,                 1.0418,                 1.0133,                0.49714,                0.34269,                0.35701,                0.20181,                 1.4364,                0.90279,                0.93396,               0.005578,               0.005578,               0.005578
                    137,                 1.5603,                 1.0395,                 1.0121,                0.49457,                0.34298,                0.35721,                 0.2019,                 1.4353,                0.90278,                0.93376,               0.005545,               0.005545,               0.005545
                    138,                 1.5631,                 1.0408,                 1.0116,                0.49958,                0.34057,                 0.3566,                0.20125,                 1.4366,                0.90279,                0.93371,               0.005512,               0.005512,               0.005512
                    139,                 1.5672,                 1.0416,                 1.0124,                0.49539,                0.34391,                0.35813,                0.20193,                 1.4373,                0.90097,                 0.9338,               0.005479,               0.005479,               0.005479
                    140,                 1.5587,                 1.0349,                 1.0115,                 0.4867,                0.34628,                0.35817,                0.20194,                 1.4361,                0.90109,                0.93366,               0.005446,               0.005446,               0.005446
                    141,                 1.5659,                 1.0402,                 1.0116,                 0.4957,                0.34574,                0.35913,                0.20351,                 1.4351,                0.90035,                0.93316,               0.005413,               0.005413,               0.005413
                    142,                 1.5606,                 1.0417,                 1.0115,                 0.4879,                 0.3468,                0.35856,                0.20248,                 1.4342,                0.90031,                0.93279,                0.00538,                0.00538,                0.00538
                    143,                 1.5596,                 1.0328,                  1.012,                0.49137,                0.35029,                0.35976,                0.20326,                  1.433,                0.89854,                0.93246,               0.005347,               0.005347,               0.005347
                    144,                 1.5522,                 1.0272,                 1.0078,                0.49529,                 0.3523,                0.36167,                  0.204,                 1.4294,                0.89518,                0.93154,               0.005314,               0.005314,               0.005314
                    145,                 1.5552,                 1.0287,                 1.0111,                0.49234,                0.35207,                0.36271,                0.20466,                 1.4307,                 0.8952,                0.93136,               0.005281,               0.005281,               0.005281
                    146,                 1.5556,                 1.0288,                 1.0108,                0.48886,                0.35223,                0.36265,                0.20503,                 1.4323,                0.89607,                 0.9318,               0.005248,               0.005248,               0.005248
                    147,                 1.5534,                 1.0278,                 1.0095,                0.49478,                0.35214,                0.36391,                  0.206,                 1.4329,                0.89521,                0.93209,               0.005215,               0.005215,               0.005215
                    148,                   1.56,                 1.0308,                 1.0109,                0.50071,                0.35201,                0.36396,                0.20639,                 1.4324,                0.89441,                0.93204,               0.005182,               0.005182,               0.005182
                    149,                 1.5529,                 1.0239,                 1.0094,                0.49931,                0.35189,                0.36452,                0.20652,                 1.4313,                0.89372,                 0.9322,               0.005149,               0.005149,               0.005149
                    150,                 1.5531,                 1.0227,                  1.011,                0.49667,                 0.3529,                0.36569,                0.20687,                  1.432,                0.89301,                0.93204,               0.005116,               0.005116,               0.005116
                    151,                 1.5569,                 1.0263,                 1.0097,                0.50016,                0.34923,                0.36597,                0.20727,                  1.431,                0.89204,                0.93167,               0.005083,               0.005083,               0.005083
                    152,                 1.5507,                 1.0283,                 1.0071,                0.50525,                0.34917,                0.36592,                0.20739,                 1.4313,                0.89174,                0.93178,                0.00505,                0.00505,                0.00505
                    153,                 1.5542,                 1.0236,                 1.0085,                0.50502,                0.34859,                 0.3653,                0.20753,                 1.4317,                0.89226,                  0.932,               0.005017,               0.005017,               0.005017
